province,total_deforestasi,avg_deforestasi,std_deforestasi,min_deforestasi,max_deforestasi,num_years,total_emisi,avg_emisi,std_emisi,min_emisi,max_emisi,avg_luas_hutan,min_luas_hutan,max_luas_hutan,pulau
ACEH,141426.330715,12856.93915590909,5099.88797542563,7024.905529,21580.82224,11,58830459.351,5348223.577363636,1908072.6031625436,3056592.581,8404579.731,3405598.6012727274,3355018.402,3474863.91,Sumatera
BALI,371.87929412,33.80720855636363,30.3542124500126,0.81,98.91,11,159283.4989496,14480.318086327274,13137.732837803507,359.4470616,43161.70183,63488.62283272727,63264.08153,63624.35082,Bali & Nusa Tenggara
BANTEN,779.344235339,70.84947593990908,171.68346230389602,0.81,582.6458824,11,212349.0774805,19304.461589136365,45212.629188797466,257.41947,153408.7438,65546.56463363637,65084.13565,65845.84165,Jawa
BENGKULU,21260.9029422,1932.8093583818181,750.2978027784184,982.5825882,3478.244118,11,11475340.032,1043212.7301818181,404772.34765180334,519810.5935,1884410.525,231019.98502727272,222415.8716,240198.5305,Sumatera
D I YOGYAKARTA,1.08,0.09818181818181819,0.2970123964355085,0.0,0.99,11,352.02170514000005,32.00197319454546,96.93953898503347,0.0,323.1136923,10.611818181818181,9.72,10.8,Jawa
DKI JAKARTA,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,48.395647059999995,48.39564706,48.39564706,Jawa
GORONTALO,27482.7377653,2498.4307059363637,1901.0982597584589,317.2422353,5810.487882,11,13649235.5145,1240839.5922272727,950338.8429263728,155887.6073,2879610.837,317123.2774545455,308567.0552,334421.6033,Sulawesi
JAMBI,362131.69835,32921.06348636364,31126.233024057525,9422.172,110713.386,11,147023854.166,13365804.924181819,12188137.389883712,3934754.515,43971351.24,1565313.1718181819,1445552.749,1736697.398,Sumatera
JAWA BARAT,1514.1804706,137.65277005454547,83.47283184933185,62.1,350.8030588,11,700373.37826,63670.30711454546,41784.410579866606,29286.93901,172749.3289,291802.0956727273,291174.0431,292570.7753,Jawa
JAWA TENGAH,640.67858827,58.243508024545456,35.05517142853543,11.88,118.1675294,11,290557.918287,26414.356207909088,16813.37236884023,5942.868005,55484.10351,87377.20668545454,87051.32153,87625.49118,Jawa
JAWA TIMUR,4296.1697649,390.5608877181818,414.51110540921366,98.55,1379.688706,11,1857487.36524,168862.4877490909,181307.20527732995,42140.98231,605407.1483,260176.73544545454,258780.8315,261697.3126,Jawa
KALIMANTAN BARAT,764241.84314,69476.53119454546,41159.929322544565,24283.44035,139658.0252,11,304853045.56,27713913.232727274,15499998.287144504,10664493.26,54733959.65,8647204.24690909,8411437.014,9036020.832,Kalimantan
KALIMANTAN SELATAN,99634.057761,9057.641614636364,4421.83787012103,2832.082941,16503.64129,11,39381137.229,3580103.3844545456,1854802.3652366225,1214816.798,7265133.101,900064.9722363636,864138.6459,949820.0125,Kalimantan
