provinsi,pulau,id_provinsi,id_pulau,total_deforestasi_2013_2022_ha,ranking
KALIMANTAN TENGAH,KALIMANTAN,ID-62,ID-KA,748513.7181,1
KALIMANTAN BARAT,KALIMANTAN,ID-61,ID-KA,624583.8179,2
RIAU,SUMATERA,ID-14,ID-SM,458241.3204,3
KALIMANTAN TIMUR,KALIMANTAN,ID-64,ID-KA,355027.0811,4
PAPUA,PAPUA,ID-94,ID-PP,326078.3837,5
JAMBI,SUMATERA,ID-15,ID-SM,291144.6487,6
SULAWESI TENGAH,SULAWESI,ID-72,ID-SL,230650.7795,7
KALIMANTAN UTARA,KALIMANTAN,ID-65,ID-KA,187854.4041,8
SUMATERA BARAT,SUMATERA,ID-13,ID-SM,155138.2842,9
PAPUA BARAT,PAPUA,ID-91,ID-PP,151954.4523,10
ACEH,SUMATERA,ID-11,ID-SM,119845.5085,11
SUMATERA UTARA,SUMATERA,ID-12,ID-SM,115160.6139,12
KALIMANTAN SELATAN,KALIMANTAN,ID-63,ID-KA,85681.36658,13
SULAWESI TENGGARA,SULAWESI,ID-74,ID-SL,81362.934,14
MALUKU UTARA,MALUKU,ID-82,ID-ML,74470.20599,15
MALUKU,MALUKU,ID-81,ID-ML,62867.38446,16
SUMATERA SELATAN,SUMATERA,ID-16,ID-SM,57989.50165,17
KEP. BANGKA BELITUNG,SUMATERA,ID-19,ID-SM,43123.5007,18
SULAWESI SELATAN,SULAWESI,ID-73,ID-SL,40022.92341,19
GORONTALO,SULAWESI,ID-75,ID-SL,25854.54812,20
KEP. RIAU,SUMATERA,ID-21,ID-SM,22847.98165,21
SULAWESI UTARA,SULAWESI,ID-71,ID-SL,20815.63235,22
BENGKULU,SUMATERA,ID-17,ID-SM,17782.65882,23
SULAWESI BARAT,SULAWESI,ID-76,ID-SL,10488.09529,24
NUSA TENGGARA BARAT,NUSA TENGGARA,ID-52,ID-NU,8298.228353,25
LAMPUNG,SUMATERA,ID-18,ID-SM,5365.094823,26
JAWA TIMUR,JAWA,ID-35,ID-JW,2916.481059,27
NUSA TENGGARA TIMUR,NUSA TENGGARA,ID-53,ID-NU,2413.036941,28
JAWA BARAT,JAWA,ID-32,ID-JW,1396.732235,29
BANTEN,JAWA,ID-36,ID-JW,761.706,30
JAWA TENGAH,JAWA,ID-33,ID-JW,574.1696471,31
BALI,NUSA TENGGARA,ID-51,ID-NU,360.2692941,32
D I YOGYAKARTA,JAWA,ID-34,ID-JW,1.08,33
DKI JAKARTA,JAWA,ID-31,ID-JW,0,34
