tahun,negara,id_negara,provinsi,id_provinsi,pulau,id_pulau,luas_hutan_ha,emisi_co2_ton,deforestasi_ha
2013,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3460246.607,5802208.499,14617.30341
2014,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3439432.938,8404579.731,20813.66859
2015,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3426646.313,5427615.739,12786.62541
2016,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3411504.748,6444893.766,15141.56506
2017,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3398590.915,5526883.381,12913.83318
2018,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3385312.295,5787389.827,13278.62012
2019,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3377339.345,3562152.599,7972.95
2020,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3369827.023,3266733.032,7512.321529
2021,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3362802.118,3056592.581,7024.905529
2022,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3355018.402,3297145.592,7783.715647
2013,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63623.54082,359.4470616,0.81
2014,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63609.41082,6578.929737,14.13
2015,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63600.14082,3591.480652,9.27
2016,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63570.44082,12703.65461,29.7
2017,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63564.32082,2479.934756,6.12
2018,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63465.41082,43161.70183,98.91
2019,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63403.40118,26116.30584,62.00964706
2020,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63342.47118,26007.52513,60.93
2021,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63307.28153,15636.92122,35.18964706
2022,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63264.08153,17891.80289,43.2
2013,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65845.03165,310.1484028,0.81
2014,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65838.45071,1300.288328,6.580941176
2015,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65836.92071,257.41947,1.53
2016,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65751.33106,27122.77123,85.58964706
2017,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65742.26118,1681.001981,9.069882353
2018,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65731.99624,3435.669115,10.26494118
2019,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65149.35035,153408.7438,582.6458824
