provinsi,pulau,id_provinsi,id_pulau,total_deforestasi_2013_2022_ha,total_emisi_co2_2013_2022_ton,rata_rata_luas_hutan_ha
ACEH,SUMATERA,ID-11,ID-SM,119845.508475,50576194.747,3398672.0703999996
BALI,NUSA TENGGARA,ID-51,ID-NU,360.26929412,154527.7037266,63475.050034
BANTEN,JAWA,ID-36,ID-JW,761.7060000490001,205723.7341965,65516.63693200001
BENGKULU,SUMATERA,ID-17,ID-SM,17782.6588242,9590929.507,230102.13048
D I YOGYAKARTA,JAWA,ID-34,ID-JW,1.08,352.02170514000005,10.593
DKI JAKARTA,JAWA,ID-31,ID-JW,0.0,0.0,48.39564706
GORONTALO,SULAWESI,ID-75,ID-SL,25854.5481183,12839907.1988,315393.44487
JAMBI,SUMATERA,ID-15,ID-SM,291144.6487,119081767.046,1548174.7492
JAWA BARAT,JAWA,ID-32,ID-JW,1396.7322353,647517.02121,291725.22771
JAWA TENGAH,JAWA,ID-33,ID-JW,574.16964709,261268.091717,87352.378236
JAWA TIMUR,JAWA,ID-35,ID-JW,2916.4810589,1252080.21694,260024.67773000002
KALIMANTAN BARAT,KALIMANTAN,ID-61,ID-KA,624583.81794,250119085.91,8608322.5884
KALIMANTAN SELATAN,KALIMANTAN,ID-63,ID-KA,85681.366581,34009998.416,895089.46821
KALIMANTAN TENGAH,KALIMANTAN,ID-62,ID-KA,748513.7180700001,288632147.397,6879881.072400001
KALIMANTAN TIMUR,KALIMANTAN,ID-64,ID-KA,355027.08106,172644335.169,6102912.63
KALIMANTAN UTARA,KALIMANTAN,ID-65,ID-KA,187854.40412,87470190.367,3657976.5301
KEP. BANGKA BELITUNG,SUMATERA,ID-19,ID-SM,43123.500701,14658467.2668,201747.31048000001
KEP. RIAU,SUMATERA,ID-21,ID-SM,22847.9816479,8670358.361399999,195750.81228
LAMPUNG,SUMATERA,ID-18,ID-SM,5365.094823,2222492.04221,256494.39325000002
MALUKU,MALUKU,ID-81,ID-ML,62867.384464999996,31299670.0371,3020055.7944
MALUKU UTARA,MALUKU,ID-82,ID-ML,74470.205992,37612322.822,2178982.6559
NUSA TENGGARA BARAT,NUSA TENGGARA,ID-52,ID-NU,8298.2283528,3319674.5637,446153.90319999994
NUSA TENGGARA TIMUR,NUSA TENGGARA,ID-53,ID-NU,2413.0369412,918533.95559,169309.63645000002
PAPUA,PAPUA,ID-94,ID-PP,326078.38374,152225764.449,24883357.544999998
PAPUA BARAT,PAPUA,ID-91,ID-PP,151954.452347,75917867.092,9530898.2861
RIAU,SUMATERA,ID-14,ID-SM,458241.32043,174577371.318,1581154.1598999999
SULAWESI BARAT,SULAWESI,ID-76,ID-SL,10488.0952937,4739838.8537,338913.63509
SULAWESI SELATAN,SULAWESI,ID-73,ID-SL,40022.92341,18535384.205700003,1138676.0455
SULAWESI TENGAH,SULAWESI,ID-72,ID-SL,230650.779534,111139346.132,5191805.8597
SULAWESI TENGGARA,SULAWESI,ID-74,ID-SL,81362.93399800001,38944902.066,1540941.1257
SULAWESI UTARA,SULAWESI,ID-71,ID-SL,20815.6323523,10399052.8039,668981.89067
SUMATERA BARAT,SUMATERA,ID-13,ID-SM,155138.284229,76052781.318,2366028.1231
SUMATERA SELATAN,SUMATERA,ID-16,ID-SM,57989.501649,22182602.9953,777558.58294
SUMATERA UTARA,SUMATERA,ID-12,ID-SM,115160.61388399999,52359853.192,1730374.1419999998
