year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,gross_greenhouse_gas_emissions_from_deforestation_tonnes_co₂-
2001,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,1782573.796
2001,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,1907.890281
2001,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,465.0026893
2001,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,955814.7533
2001,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2001,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2001,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,271065.7605
2001,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,6636698.751
2001,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,218199.7016
2001,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,65669.32603
2001,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,168935.9305
2001,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,5662920.573
2001,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1032839.895
2001,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,6932462.029
2001,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,3394916.647
2001,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3226402.087
2001,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,286528.0213
2001,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,99129.5126
2001,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,414689.1787
2001,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,268136.3125
2001,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,803865.7626
2001,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,229531.9419
