year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2001,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3624507.148
2001,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63751.61082
2001,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65992.44953
2001,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,268292.0209
2001,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2001,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2001,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,349659.2216
2001,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,2169651.529
2001,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,294202.7771
2001,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,88502.19071
2001,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,266492.8482
2001,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9764927.149
2001,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1055357.198
2001,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,8256303.557
2001,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6625388.925
2001,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,4017612.289
2001,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,270607.3419
2001,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,230685.6053
2001,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,266876.5765
2001,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3090020.413
2001,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2276623.81
2001,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,453460.6924
