year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2001,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,4097.692235
2001,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,5.13
2001,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,1.26
2001,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1906.404
2001,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2001,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2001,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,595.1032941
2001,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,17097.834
2001,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,458.8284706
2001,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,134.0767059
2001,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,366.5643529
2001,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,12709.88153
2001,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,2771.675647
2001,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,15928.46541
2001,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,7170.694941
2001,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,9032.170941
2001,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,753.6578824
2001,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,253.2578824
2001,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,850.8536471
2001,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,546.3854118
2001,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,1587.133059
2001,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,514.5296471
2001,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,49.58964706
2001,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,11356.53741
2001,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,6162.148588
2001,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,75254.86165
2001,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,2677.779882
2001,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,2374.354941
